date,change
2020-01-01,0
2020-02-01,0.29
2020-03-01,-0.35
2020-04-01,-10.87
2020-05-01,-9.06
2020-06-01,-6.77
2020-07-01,-5.87
2020-08-01,-5.2
2020-09-01,-4.69
2020-10-01,-4.27
2020-11-01,-3.99
2020-12-01,-3.68
2021-01-01,-3.98
2021-02-01,-3.71
2021-03-01,-3.41
2021-04-01,-3.28
2021-05-01,-3.21
2021-06-01,-3.22
2021-07-01,-3.05
2021-08-01,-2.98
2021-09-01,-2.98
2021-10-01,-2.8
2021-11-01,-2.62
2021-12-01,-2.47
2022-01-01,-2.39
