date,change
2020-01-01,0
2020-02-01,0.12
2020-03-01,0.13
2020-04-01,-2.37
2020-05-01,-3.04
2020-06-01,-2.88
2020-07-01,-2.6
2020-08-01,-2.43
2020-09-01,-2.42
2020-10-01,-2.18
2020-11-01,-2.08
2020-12-01,-1.36
2021-01-01,-2.04
2021-02-01,-2.07
2021-03-01,-1.87
2021-04-01,-1.97
2021-05-01,-1.95
2021-06-01,-1.98
2021-07-01,-1.98
2021-08-01,-1.9
2021-09-01,-2.06
2021-10-01,-2.04
2021-11-01,-1.98
2021-12-01,-1.94
2022-01-01,-1.88
