date,change
2020-01-01,0
2020-02-01,-0.04
2020-03-01,-0.22
2020-04-01,-4
2020-05-01,-5.29
2020-06-01,-5.85
2020-07-01,-6.48
2020-08-01,-6.85
2020-09-01,-7.02
2020-10-01,-7.25
2020-11-01,-7.57
2020-12-01,-7.96
2021-01-01,-8.59
2021-02-01,-8.86
2021-03-01,-9.02
2021-04-01,-9.58
2021-05-01,-9.89
2021-06-01,-10.27
2021-07-01,-10.6
2021-08-01,-10.76
2021-09-01,-12.02
2021-10-01,-12.12
2021-11-01,-12.17
2021-12-01,-12.15
2022-01-01,-12.15
